Role,Timeline,Institution / Project,Focus Area & Key Contributions
Postdoc,Aug. 2025 – Continuous,"Concordia University, Canada",BEM & AI/ML• Developed urban energy modeling software/web platform to design high-performance neighborhoods.• Supported a modular Neighborhood Unit (NU) framework for Canadian urban energy planning that integrates national building standards.• Serve as a peer reviewer for Scientific Reports (2025-Present) and facilitate ongoing research dissemination.
Lecturer,Jan. 2025 – June 2025,"Bilkent University, Architecture","BEM & BIM• Taught ARCH 324 (Environmental Technologies): passive/active design, energy certificates, and performance analysis.• Taught ADA 134 (Designing with Digital Media): architectural design and visualization using AutoCAD, Rhino, Grasshopper, Revit, Illustrator, Photoshop, TwinMotion, and Lumion."
Lead Researcher,June 2020 – Aug. 2023,"TUBITAK 1001, Research Project","UBEM & AI/ML• Developed bottom-up building simulation pipelines (EnergyPlus, Rhino/Grasshopper, Python) and deep learning models for UBEM and climate risk assessment.• Secured competitive research funding for urban sustainability initiatives, driven by comprehensive urban heat island (UHI) measurements and weather data calibration."
Teaching Assistant,Mar. 2019 – June 2020,Middle East Technical University,UBEM & BEM & Data Analysis• Enhanced the course curriculum by guiding Master's students through real-world UBEM applications using EnergyPlus and Rhino/Grasshopper (ARCH750-Performative Architecture Lab).• Collaborated with government agencies to process large-scale urban datasets for evaluating climate-resilient urban models.
Researcher,Jan. 2019 – June 2020,TUBITAK & Newton Fund,BEM & Programming• Assisted in AI/ML for 3D reconstruction and camera-based occupancy classification.• Conducted BEM for educational facilities and thermal imaging for energy diagnostics.• Collected and validated occupancy and comfort data using in-situ sensors.
Researcher,Jan. 2019 – Sept. 2019,Oluşum Architecture,"BEM & Programming• Collaborated with the Ministry of Environment, Urbanization, and Climate Change and GIZ to optimize building energy performance for Turkish Insulation Standards (TS-825).• Simulated energy performance using genetic algorithms (HYPE, NSGA-II) and life-cycle cost analysis to propose near-zero energy building (nZEB) solutions (e.g., insulation, geothermal)."
Lecturer,Jan. 2018 – Jan. 2019,"Yasar University, Architecture",Computational & BEM & BIM• Taught computational design tools (Rhino/Grasshopper) for ARCH 211.• Lectured AI/ML-based performance modeling for ARCH 450.• Introduced Building Information Modeling (BIM) practices using Revit for ARCH 380.• Supervised environmental site analyses and participated in end-of-year design juries.
