Section,Role_or_Degree,Timeline,Institution_or_Project,Focus_Area,Key_Contributions_and_Details
Education,Doctorate,Jan. 2019 – Sep. 2024,"Middle East Technical University, School of Applied Sciences, Faculty of Architecture",UBEM & AI/ML,"Thesis: Occupancy Modeling for Sustainable Transformation of Residential Building Stock. Developed deep learning models (time-series) to improve occupancy representation in UBEM. Advisor: Prof. Dr. Ipek Gursel Dino, Co-advisor: Prof. Dr. Sinan Kalkan (Computer Engineering)"
Education,MSc,Sep. 2016 – June 2018,"Yaşar University, School of Applied Sciences, Faculty of Architecture",BEM & Statistics,"100% scholarship. Thesis: The influence of early design decisions on energy demand: A quantitative assessment using sensitivity analysis. Applied sensitivity analysis (Sobol) using Python (Eppy/Geomeppy, Scipy, SALib, Numpy). Specialized in thermodynamics and statistical modeling for energy system evaluations. Advisor: Dr. Onur Dursun (Civil Engineer)"
Education,Bachelor,Sep. 2012 – June 2016,"Yaşar University, Faculty of Architecture",Architecture,100% scholarship. Focused on core architectural foundations.
Education,Online Education,—,—,Deep Learning & Probability & ML,Courses completed: CENG 501: Deep Learning | MITx 6.431x: Probability | MITx 6.86x: ML with Python
Education,High School,—,Le Lycée Français Saint Joseph d’Izmir,General Academic,100% scholarship. Bilingual French/Turkish academic foundation.
